id,date,type,item,source_article,source_sentence,meaning,usage,writing_value,tags,review_note,appear_count,last_seen
20260424-208,2026-04-24,单词,interpersonal,2026-04-24-article.md,"not interpersonal, influence",人际的；人与人之间的,interpersonal；常修饰 relationship、communication、influence，表示人与人直接交往层面的。,适合,写作友好|议论文常用|社会主题,interpersonal influence 指人与人直接接触产生的影响，不是媒体影响。,1,2026-04-24
20260424-209,2026-04-24,单词,population,2026-04-24-article.md,even the most influential members of a population simply don't interact with that many others,群体；人口；总体,population；这里不是单纯“人口数量”，而是研究中的一个人群/总体。,一般,阅读高频|社会主题,研究语境中 population 常指被讨论或研究的整体人群。,1,2026-04-24
20260424-210,2026-04-24,单词,precisely,2026-04-24-article.md,"Yet it is precisely these non-celebrity influentials who, according to the two-step-flow theory, are supposed to drive social epidemics, by influencing their friends and colleagues directly.",正是；恰恰；精确地,precisely；这里不是“准确地”这个普通意思，而是在强调句中加强语气，表示“正是这些人”。,适合,写作友好|议论文常用|熟词僻义,precisely 在强调结构里常译为“正是/恰恰”。,1,2026-04-24
20260424-211,2026-04-24,句型,It is precisely A who...,2026-04-24-article.md,"Yet it is precisely these non-celebrity influentials who, according to the two-step-flow theory, are supposed to drive social epidemics, by influencing their friends and colleagues directly.",正是 A……；恰恰是 A……,It is precisely A who...；强调句型 `It is/was + 被强调部分 + who/that...`，这里强调主语 these non-celebrity influentials。,适合,写作友好|议论文常用|长难句结构|已迁句式卡,强调句判断方法：去掉 It is/was 和 who/that 后，句子主干仍基本成立。→ 已建句式卡 SP-001,1,2026-04-24
20260424-212,2026-04-24,单词,occur,2026-04-24-article.md,For a social epidemic to occur,发生；出现,occur；不及物动词，常用于现象、事件、变化“发生/出现”。,一般,阅读高频|议论文常用,occur 比 happen 更正式，常见结构是 for sth to occur。,1,2026-04-24
20260424-213,2026-04-24,单词,initial,2026-04-24-article.md,the initial influential,最初的；起始的,initial；形容词，表示一开始的、最早的，这里修饰 influential，指最初那个有影响力的人。,适合,写作友好|议论文常用,initial 常用于 initial stage/response/impact，表示“最初的”。,1,2026-04-24
20260424-214,2026-04-24,词组,so affected,2026-04-24-article.md,each person so affected must then influence his or her own acquaintances,这样受到影响的；如此受影响的,so affected；过去分词短语作后置定语，修饰 each person，相当于 each person who is so affected。,一般,阅读高频|长难句结构,看到 must then influence 可判断 influence 才是谓语动词，affected 不是谓语，而是修饰 person。,1,2026-04-24
20260424-215,2026-04-24,词组,have little to do with,2026-04-24-article.md,has little to do with the initial influential,与……几乎无关,have little to do with；表示关系很小或几乎没有关系，可与 have something/a lot to do with 对照记忆。,适合,写作友好|议论文常用|固定搭配,have little to do with 是论证中表达“关系不大”的高频结构。,1,2026-04-24
20260424-216,2026-04-24,句型,modal verb + base verb,2026-04-24-article.md,each person so affected must then influence his or her own acquaintances,情态动词后接动词原形,modal verb + base verb；must/can/should/may 后面接动词原形，因此 must then influence 中 influence 是谓语动词原形。,适合,阅读高频|长难句结构,用情态动词判断谓语：must 后面的 influence 是动词原形，前面的 affected 是过去分词定语。,1,2026-04-24
20260424-217,2026-04-24,单词,acquaintances,2026-04-24-article.md,each person so affected must then influence his or her own acquaintances,熟人；认识的人,acquaintances；指认识但未必亲近的人，比 friends 关系弱。,一般,阅读高频|社会主题|易混表达,acquaintance 是“认识的人/熟人”，不是亲密朋友。,1,2026-04-24
20260424-218,2026-04-24,单词,resistant,2026-04-24-article.md,"If people in the network just two degrees removed from the initial influential prove resistant",抵触的；抗拒的；有抵抗力的,resistant；这里指人对影响不接受、抗拒变化，不是医学上的“有免疫力”。,一般,阅读高频|社会主题,prove resistant 表示“结果表现出抗拒/证明是抗拒的”。,1,2026-04-24
20260424-219,2026-04-24,单词,cascade,2026-04-24-article.md,the cascade of change won't propagate very far,连锁反应；级联；瀑布,cascade；本义是“瀑布”，这里比喻变化一层层传递形成的连锁反应。,一般,阅读高频|熟词僻义|社会主题,cascade 在社会传播语境中常指“连锁传播/级联反应”。,1,2026-04-24
20260424-220,2026-04-24,词组,cascade of change,2026-04-24-article.md,the cascade of change won't propagate very far,变化的连锁反应；层层扩散的变化,cascade of change；指影响或变化像链条一样一层层传下去，不是字面“变化的瀑布”。,一般,阅读高频|固定搭配|社会主题,cascade of change 要从“连锁扩散”角度理解。,1,2026-04-24
20260424-221,2026-04-24,单词,propagate,2026-04-24-article.md,the cascade of change won't propagate very far,传播；扩散；繁殖,propagate；这里是不及物动词，指变化的连锁反应继续传播、扩散。,适合,写作友好|议论文常用|社会主题,propagate 比 spread 更正式，常用于观点、影响、变化或信号传播。,1,2026-04-24
20260424-222,2026-04-24,单词,dynamics,2026-04-24-article.md,"the researchers studied the dynamics of social influence by conducting thousands of computer simulations of populations",运行机制；变化规律；动态,dynamics；这里不是物理“动力学”，而是指社会影响如何运转、变化和传播的机制。,适合,写作友好|议论文常用|社会主题,dynamics 常用于 the dynamics of...，表示某事物内部的运行机制。,1,2026-04-24
20260424-223,2026-04-24,单词,conducting,2026-04-24-article.md,"by conducting thousands of computer simulations of populations",进行；开展；实施,conducting；这里是 conduct 的动名词形式，表示“进行/开展”模拟研究，不是“导电”。,适合,写作友好|学术表达|议论文常用,conduct research/experiments/simulations 是学术文中很常见的“开展研究/实验/模拟”。,1,2026-04-24
20260424-224,2026-04-24,单词,simulations,2026-04-24-article.md,"by conducting thousands of computer simulations of populations",模拟；仿真,simulations；指用计算机模型模拟现实中的人群或网络变化。,一般,阅读高频|学术表达|社会主题,simulation 是“模拟”，computer simulations 就是“计算机模拟”。,1,2026-04-24
20260424-225,2026-04-24,单词,manipulating,2026-04-24-article.md,"manipulating a number of variables relating to people's ability to influence others",操控；调整；处理,manipulating；研究语境中指人为调整变量来观察结果，不一定是负面的“操纵”。,一般,阅读高频|学术表达,manipulate variables 表示“操控/调整变量”，是实验研究常见表达。,1,2026-04-24
20260424-226,2026-04-24,单词,variables,2026-04-24-article.md,"manipulating a number of variables relating to people's ability to influence others",变量；可变因素,variables；指研究中可以改变或测量的因素，这里包括影响他人的能力和受影响的倾向。,适合,写作友好|学术表达|议论文常用,variable 在研究类文章中常译为“变量/因素”。,1,2026-04-24
20260424-227,2026-04-24,词组,principal requirement,2026-04-24-article.md,"the principal requirement for what is called ""global cascades""",主要条件；首要要求；核心必要条件,principal requirement；principal 是“主要的/首要的”，requirement 在这里更像“必要条件”。,适合,写作友好|议论文常用|学术表达,principal requirement for... 表示“……的主要条件/核心必要条件”。,1,2026-04-24
20260424-228,2026-04-24,句型,not of A but rather of B,2026-04-24-article.md,"is the presence not of a few influentials but, rather, of a critical mass of easily influenced people",不是 A 的存在，而是 B 的存在,not of A but rather of B；这里与 presence 搭配，完整结构是 the presence not of A but rather of B。,适合,写作友好|议论文常用|对比结构|长难句结构|已迁句式卡,not...but rather... 用来否定前项并强调真正答案。→ 已建句式卡 SP-002,1,2026-04-24
20260424-229,2026-04-24,词组,critical mass,2026-04-24-article.md,a critical mass of easily influenced people,足够数量；临界数量；关键规模,critical mass；指某事发生所需的足够数量或关键规模，不是“批判的大众”。,适合,写作友好|议论文常用|熟词僻义,critical mass of... 表示“足够数量的……/关键规模的……”。,1,2026-04-24
20260424-230,2026-04-24,词组,easily influenced people,2026-04-24-article.md,a critical mass of easily influenced people,易受影响的人,easily influenced people；过去分词 influenced 作形容词，easily 修饰 influenced，表示“容易被影响的”。,一般,阅读高频|社会主题|长难句结构,easily influenced = easy to influence，注意是被动含义“易受影响的”。,1,2026-04-24
20260424-231,2026-04-24,词组,serve as,2026-04-24-article.md,serves as a solution to marketing problems,作为；充当；起到……作用,serve as；后面接身份、功能或用途，表示“作为/充当/起到……作用”。,适合,写作友好|议论文常用|固定搭配,serve as 不要拆成 serve 和 as，整体记“充当/起到……作用”。,1,2026-04-24
20260425-001,2026-04-25,单词,validity,2026-04-24-article.md,requires solid evidence for its validity,有效性；合理性；正当性,validity；名词，指理论、观点、证据或结论是否站得住脚、是否有效。,适合,写作友好|议论文常用|学术表达,validity 常和 evidence/theory/argument 搭配，用来谈“是否有充分依据”。,1,2026-04-25
20260425-002,2026-04-25,词组,eagerness to be accepted,2026-04-24-article.md,The eagerness to be accepted,渴望被接受；渴望被认可,eagerness；名词，表示强烈愿望，后接 to do/to be done。,一般,阅读高频|心理态度|选项词,eagerness 比 desire 更强调“急切、热切”。,1,2026-04-25
20260425-003,2026-04-25,词组,impulse to influence others,2026-04-24-article.md,The impulse to influence others,影响他人的冲动；想影响他人的冲动,impulse；名词，表示一时的冲动或内在驱动力，后接 to do。,一般,阅读高频|心理态度|选项词,impulse 常指未深思的冲动或本能驱动。,1,2026-04-25
20260425-004,2026-04-25,词组,readiness to be influenced,2026-04-24-article.md,The readiness to be influenced,愿意受影响；易于接受影响,readiness；名词，表示准备好、愿意或乐于做某事，后接 to do/to be done。,适合,写作友好|议论文常用|心理态度|选项词,readiness to be influenced 对应本文核心答案“易受影响”。,1,2026-04-25
20260425-005,2026-04-25,词组,inclination to rely on others,2026-04-24-article.md,The inclination to rely on others,依赖他人的倾向；倾向于依赖他人,inclination；名词，表示倾向、偏好，后接 to do。,适合,写作友好|议论文常用|心理态度|选项词,inclination 是较正式的“倾向”，常用于议论文。,1,2026-04-25
20260607-001,2026-06-07,词组,in public,2026-05-27-2010-english-i-text-4.md,Bankers have been blaming themselves for their troubles in public.,在公开场合,in public 修饰 have been blaming themselves 这个动作；不是修饰 troubles。,一般,阅读高频|固定搭配|易错修饰关系,先判断状语修饰动作还是名词；本句是“公开责备自己”。,1,2026-06-07
20260607-002,2026-06-07,词组,behind the scenes,2026-05-27-2010-english-i-text-4.md,"Behind the scenes, they have been taking aim at someone else: the accounting standard-setters.",幕后；私下里,behind the scenes 与 in public 对比；表示银行私下真正的指责方向。,一般,阅读高频|固定搭配|态度对比,和 in public 成对看：公开自责 vs 幕后指责别人。,1,2026-06-07
20260607-003,2026-06-07,词组,take aim at,2026-05-27-2010-english-i-text-4.md,"Behind the scenes, they have been taking aim at someone else: the accounting standard-setters.",把矛头对准；针对；批评,take aim at 本义可指瞄准；本文是比喻用法，指把批评矛头指向某人。,一般,阅读高频|固定搭配|熟词僻义,阅读中看到 take aim at sb 要先想到“批评/针对某人”。,1,2026-06-07
20260607-004,2026-06-07,单词,accounting,2026-05-27-2010-english-i-text-4.md,the accounting standard-setters,会计的；会计,accounting 在本文中修饰 standard-setters，表示“会计准则制定者”，不是“记录”。,一般,阅读高频|经济主题|易混表达,accounting standard-setters 整体理解为“会计准则制定者”。,1,2026-06-07
20260607-005,2026-06-07,词组,standard-setters,2026-05-27-2010-english-i-text-4.md,the accounting standard-setters,标准制定者,standard-setters 指制定规则或标准的人或机构；本文特指会计准则制定者。,一般,阅读高频|经济主题|固定搭配,看清 setter 是“制定者/设置者”，不要因听辨或拼写卡住。,1,2026-06-07
20260607-006,2026-06-07,词组,their rules,2026-05-27-2010-english-i-text-4.md,"Their rules, moan the banks, have forced them to report enormous losses, and it's just not fair.",他们的规则；此处指会计准则制定者的规则,their 回指前一句 the accounting standard-setters；不是银行家的规则。,一般,阅读高频|指代关系|易错修饰关系,先回到前一句找 their 的指代对象：这里是会计准则制定者。,1,2026-06-07
20260607-007,2026-06-07,单词,moan,2026-05-27-2010-english-i-text-4.md,"Their rules, moan the banks, have forced them to report enormous losses, and it's just not fair.",抱怨,moan the banks 是插入语，等于 the banks moan；表示银行抱怨说。,一般,阅读高频|插入语|态度表达,看到逗号夹住的 moan the banks，先当插入语处理。,1,2026-06-07
20260607-008,2026-06-07,词组,force sb to do sth,2026-05-27-2010-english-i-text-4.md,"Their rules, moan the banks, have forced them to report enormous losses, and it's just not fair.",迫使某人做某事,have forced them to report enormous losses；them 指银行方，表示规则迫使银行报告亏损。,适合,写作友好|议论文常用|固定搭配,force sb to do sth 是高频因果压力结构，不要把 forced 看成“集中”。,1,2026-06-07
20260607-009,2026-06-07,词组,report losses,2026-05-27-2010-english-i-text-4.md,"Their rules, moan the banks, have forced them to report enormous losses, and it's just not fair.",报告亏损；确认损失,report losses 是财务语境表达，指把亏损报告出来或确认到报表中。,一般,阅读高频|经济主题|固定搭配,losses 是“亏损/损失”，不要和 environment 误连成“环境损失”。,1,2026-06-07
20260607-010,2026-06-07,单词,enormous,2026-05-27-2010-english-i-text-4.md,enormous losses,巨大的；庞大的,enormous 修饰 losses，表示亏损规模巨大；不是 environment。,一般,阅读高频|易混表达,enormous losses = 巨额亏损。,1,2026-06-07
20260607-011,2026-06-07,词组,not fair,2026-05-27-2010-english-i-text-4.md,"it's just not fair",不公平,fair 在这里是“公平的”，not fair 是银行抱怨规则不公平。,一般,阅读高频|态度表达|熟词僻义,fair 不只表示“集市/浅色”，这里是“公平”。,1,2026-06-07
20260607-012,2026-06-07,单词,value,2026-05-27-2010-english-i-text-4.md,they must value some assets,评估；给……估值,value 在这里是动词，指给资产估值；不是“有价值”。,一般,阅读高频|经济主题|熟词僻义,value 作动词接资产时，优先理解为“评估/估值”。,1,2026-06-07
20260607-013,2026-06-07,单词,assets,2026-05-27-2010-english-i-text-4.md,they must value some assets,资产；财产,assets 是银行持有的资产，不是评估机构或评级机构。,一般,阅读高频|经济主题|易混表达,assets 常和 value/report/losses 等财务语境搭配。,1,2026-06-07
20260607-014,2026-06-07,词组,value some assets,2026-05-27-2010-english-i-text-4.md,they must value some assets,评估一些资产；给一些资产估值,value some assets 是“给部分资产估值”，value 是动词。,一般,阅读高频|经济主题|固定搭配,看到 value + assets，不要译成“资产有价值”。,1,2026-06-07
20260607-015,2026-06-07,词组,third party,2026-05-27-2010-english-i-text-4.md,the price a third party would pay,第三方,third party 指交易中除双方以外的第三方，不是 thirty 或 30%。,一般,阅读高频|经济主题|易混表达,third party = 第三方；和 30 没关系。,1,2026-06-07
20260607-016,2026-06-07,句型,the price a third party would pay,2026-05-27-2010-english-i-text-4.md,the price a third party would pay,第三方愿意支付的价格,the price 后接定语从句 a third party would pay，修饰这个价格。,一般,阅读高频|长难句结构|经济主题|已迁句式卡,看到 the price + 句子，要判断后面是否是省略关系词的定语从句。→ 已建句式卡 SP-004,1,2026-06-07
20260607-017,2026-06-07,单词,them,2026-05-27-2010-english-i-text-4.md; 2026-07-03-2011-english-i-text-3.md,not the price managers and regulators would like them to fetch; the businesses that originally created them,他们；它们；需回指具体先行词,them 在 2010 Text 4 中指银行方；在 Text 3 S15 中指 media 表示最初创建这些媒介的企业。,一般,阅读高频|指代关系|错句来源|Text3-S15,代词 them 必须回前文找先行词；S15 中 them 回指 media 不是 businesses。,2,2026-07-03
20260607-018,2026-06-07,单词,fetch,2026-05-27-2010-english-i-text-4.md,not the price managers and regulators would like them to fetch,售得；卖得某价,fetch 在价格语境中表示某物卖得某个价格，不是普通“拿来”。,一般,阅读高频|经济主题|熟词僻义,fetch a price = 卖得某价。,1,2026-06-07
20260607-019,2026-06-07,句型,at the price A would pay not the price B would like,2026-05-27-2010-english-i-text-4.md,"at the price a third party would pay, not the price managers and regulators would like them to fetch",按照 A 愿付价格，而不是按照 B 希望卖出的价格,这是价格对比结构，说明会计准则要求按市场第三方愿付价格估值，而非按管理者和监管者期待价格估值。,一般,阅读高频|长难句结构|经济主题|对比结构|已迁句式卡,抓住 at the price... not the price...，就能读出两种估值标准的对比。→ 已建句式卡 SP-002,1,2026-06-07
20260607-020,2026-06-07,单词,lobbying,2026-05-27-2010-english-i-text-4.md,"Unfortunately, banks' lobbying now seems to be working.",游说；游说活动,lobbying 表示“持续的游说行为”；在金融和政策语境里常是指对监管者施加影响。,一般,阅读高频|经济主题|金融政策,金融文体中 lobbying 常译为“游说 / 游说活动”，常用来描述团体对规则制定的施压。,1,2026-06-07
20260607-021,2026-06-07,单词,unknowable,2026-05-27-2010-english-i-text-4.md,The details may be unknowable,难以获知的；不可知的,unknowable 常表示“细节难以确定/难以知晓”，强调信息不足导致无法可靠还原。,一般,阅读高频|学术风格,在政策或媒体语境里常用于“事实细节可能无法还原或确认”.,1,2026-06-07
20260607-022,2026-06-07,单词,independence,2026-05-27-2010-english-i-text-4.md,the independence of standard-setters is being compromised,独立性; 自主性,independence 指机构或规则制定者不受不当影响的状态。,一般,阅读高频|学术政治经济,在金融监管语境里常对应“监管/准则制定者独立性”.,1,2026-06-07
20260607-023,2026-06-07,词组,proper functioning,2026-05-27-2010-english-i-text-4.md,the proper functioning of capital markets,正常运作；正常运行,proper functioning 常用于制度系统层面，表示“系统持续有效运作，机制不受阻碍”。,一般,阅读高频|议论文常用|经济主题,强调“功能性 + 正常状态”，可与 proper operation 同义互换。,1,2026-06-07
20260607-024,2026-06-07,单词,compromised,2026-05-27-2010-english-i-text-4.md,the independence ... is being compromised,受损的；受损害的（被削弱）,compromised 为被动分词，含“完整性/独立性被削弱、被损害”的含义。,一般,阅读高频|政治经济|风险语境,经常用于形容机构独立性、标准、审查程序、信誉等“受损/受侵蚀”。,1,2026-06-07
20260607-025,2026-06-07,词组,capital markets,2026-05-27-2010-english-i-text-4.md,the proper functioning of capital markets,资本市场,capital markets 指资本市场体系（股票、债券、信贷等相关市场总称）。,一般,阅读高频|经济主题,常见于宏观、金融监管、市场机制相关语境。,1,2026-06-07
20260607-026,2026-06-07,词组,essential,2026-05-27-2010-english-i-text-4.md,"the independence of standard-setters, essential to the proper functioning of capital markets, is being compromised.",至关重要的；关键的,essential 作后位定语（介词短语中的核心定语成分）表示“非常重要，关系到核心运作”；此处修饰 independence。,一般,阅读高频|议论文常用|经济主题,essential to... 在语法上常用于突出“对...至关重要/关键”的关系，不能漏译为“至关重要”。,1,2026-06-07
20260607-027,2026-06-07,单词,diminishing,2026-05-27-2010-english-i-text-4.md,the diminishing role of management.,逐渐减少；减弱,diminishing role 常写成 diminish 的进行形容词化，表示作用逐步减小。,一般,阅读高频|经济主题|词形识别,题干里的 diminishing 用于判断“作用范围被削弱”而非“消失”，常见于学术议论文。,1,2026-06-07
20260607-028,2026-06-07,单词,follow,2026-05-27-2010-english-i-text-4.md,"Bankers complained that they were forced to follow unfavorable asset evaluation rules.",遵循；跟随,follow + rules/要求 = 按规则去做；不是“走在后面”。,一般,阅读高频|固定搭配|政策语境,在题干里常考 be forced to do sth 后接 follow，表示被迫遵从。,1,2026-06-07
20260607-029,2026-06-07,单词,evaluation,2026-05-27-2010-english-i-text-4.md,follow unfavorable asset evaluation rules.,评估; 评价,evaluation 在经济类句中常指“资产评估/价值评估标准”，本题对应不利资产评估规则。,一般,阅读高频|经济主题|考试高频词,词根 eval- 常见于 policy/economic 场景，注意和 value 的关系。,1,2026-06-07
20260607-030,2026-06-07,单词,reevaluate,2026-05-27-2010-english-i-text-4.md,reevaluate some of their assets.,重新评估; 再次评估,不及物/及物动词都可见，题目中的 D 选项直接考“重新评估部分资产”。,一般,阅读高频|学术考试|金融语境,"re- 前缀表示“再次/重新”，比 assess 更强调修正或重算。",1,2026-06-07
20260607-031,2026-06-07,单词,revival,2026-05-27-2010-english-i-text-4.md,the revival of the banking system.,复兴；复苏,revival 的对象常是系统、市场、行业，在选项中是“银行体系复苏”。,一般,阅读高频|学术主题|政策语境,题干中常与 system / condition 连用，表示恢复、再生长。,1,2026-06-07
20260607-032,2026-06-07,词组,long-term,2026-05-27-2010-english-i-text-4.md,losses on long-term assets in their income statements.,长期; 长期的,修饰 assets/losses 时常作复合形容词，不是“很长一段时间”的口语用法。,一般,阅读高频|经济主题|常见搭配,金融文本中 long-term 的常见搭子是 assets/strategy/investment/losses。,1,2026-06-07
20260607-033,2026-06-07,词组,result in,2026-05-27-2010-english-i-text-4.md,may result in the weakening of its independence.,导致；引起,A cause -> B effect 结构，result in = 导致/造成。可与 leads to / bring about 对换。,一般,阅读高频|逻辑关系|议论文,result in 比较正式，常用于学术段落表因果。,1,2026-06-07
20260607-034,2026-06-07,单词,unless,2026-05-27-2010-english-i-text-4.md,"And, unless banks carry toxic assets at prices that attract buyers, reviving the banking system will be difficult.",除非；如果不, unless 引导条件状语从句，表示否定条件（未满足时主句成立）。,一般,阅读高频|逻辑关系|议论文,条件关系题里常见，不要误译为“并且/除去”。,1,2026-06-07
20260607-035,2026-06-07,单词,toxic,2026-05-27-2010-english-i-text-4.md,toxic assets,有毒的；有害的,toxic 在金融语境指有毒/不良资产，不是“税收资产”。,一般,阅读高频|经济主题|熟词僻义,toxic 往往和资产质量（bad assets / credit risk）等成对出现。,1,2026-06-07
20260607-036,2026-06-07,单词,difficult,2026-05-27-2010-english-i-text-4.md,will be difficult,困难的；难办的,difficult 表示“难以实现/难以做到”，是 do so 的状态难度判断。,一般,阅读高频|逻辑关系|议论文,difficult 需结合主语补语判断“困难在什么对象上”。,1,2026-06-07
20260607-037,2026-06-07,词组,bruising encounter,2026-05-27-2010-english-i-text-4.md,"After a bruising encounter with Congress",激烈交锋；硬碰硬的一场交锋,bruising encounter 在这里不是“受伤”，而是形容争执激烈、摩擦很重的“交锋/硬碰硬事件”.,一般,阅读高频|经济政治|议论文常用,记住 bruising encounter = 与国会间激烈交锋,1,2026-06-07
20260607-038,2026-06-07,词组,rushed through,2026-05-27-2010-english-i-text-4.md,"After a bruising encounter with Congress, America's Financial Accounting Standards Board (FASB) rushed through rule changes.",仓促地通过；强行推动通过,rushed through 为主动短语，表示机构将规则“快/硬着头皮推过程序、通过”.,一般,阅读高频|金融政策|议论文常用,不要拆成被动“被规则冲撞”; 这句主语是FASB（主动通过规则更改）.,1,2026-06-07
20260607-039,2026-06-07,单词,illiquid,2026-05-27-2010-english-i-text-4.md,These gave banks more freedom to use models to value illiquid assets,非流动的；不易变现的,illiquid 在财务语境指资产难以快速变现、流通性的，不等于“缺乏流动性”这种口语扩展。,一般,阅读高频|金融主题|会计语境,银行资产的“非流动”对应资产本身不容易短期变现。,1,2026-06-07
20260607-040,2026-06-07,单词,recognize,2026-05-27-2010-english-i-text-4.md,more flexibility in recognizing losses on long-term assets in their income statements,确认；确认为,recognize（尤其在会计句中）常指会计入账/确认损失，不是“认识到”“分析”或泛泛的“承认”。,一般,阅读高频|会计术语|金融主题,财务语境里要优先按“确认（入账）”解读，不要泛译为“承认”。,2,2026-06-13
20260607-041,2026-06-07,单词,recognizing,2026-05-27-2010-english-i-text-4.md,more flexibility in recognizing losses on long-term assets,确认；将...确立,recognizing 是 recognize 的现在分词，搭配在 ...in recognizing losses 时是“在确认损失”语境。,一般,阅读高频|会计术语|金融主题,记忆时把 recognizing 与 recognize 绑在一起，避免误译为“认识/认识到”.,1,2026-06-07
20260607-042,2026-06-07,词组,income statement,2026-05-27-2010-english-i-text-4.md,losses on long-term assets in their income statements,损益表；收益表（现金流量表常另称 cash flow statement）,income statement 是会计报表之一，常见于题干与财务核算语境。,一般,阅读高频|会计术语|金融主题,与 balance sheet、cash flow statement 配套区分报表类型。,1,2026-06-07
20260607-043,2026-06-07,单词,statement,2026-05-27-2010-english-i-text-4.md,income statements,报表；声明,会计语境里的 statement 常指财务报表（如 income statement）而不是“发言/口头陈述”这一常见口语默认。,一般,阅读高频|会计术语|写作词汇,财务文本中出现 income/balance/cash flow statements 时优先理解为“报表”.,1,2026-06-07
20260607-044,2026-06-07,单词,role,2026-05-27-2010-english-i-text-4.md,the diminishing role of management.,作用；角色；职责,role 在此强调“角色/作用”，不是“权利”。,一般,阅读高频|经济政策|议论文,题干中的 role 常对应 management 的“作用/地位”概念。,1,2026-06-07
20260607-045,2026-06-07,单词,weakening,2026-05-27-2010-english-i-text-4.md,the weakening of its independence,削弱；减弱,weakening 是 weaken 的现在分词，表示“正在减弱”，不是“唤醒”。,一般,阅读高频|政策语境|金融主题,与 result in 搭配常构成结果关系：导致……的削弱/减弱。,1,2026-06-07
20260607-046,2026-06-07,词组,object to,2026-05-27-2010-english-i-text-4.md,McCreevy objects to the IASB's attempt to,反对；不赞成,object to 后接名词或动名词，题干中表示 McCreevy 反对 IASB 试图做某事。,一般,阅读高频|题干动词|固定搭配,object to = 反对；to 是介词，后面接名词/doing。,1,2026-06-07
20260607-047,2026-06-07,词组,keep away from,2026-05-27-2010-english-i-text-4.md,keep away from political influences,远离；避免接触,keep away from political influences 表示远离政治影响，不是“保持政策有利性”。,一般,阅读高频|固定搭配|政治语境,keep away from 后面常接负面或不想接触的对象。,1,2026-06-07
20260607-048,2026-06-07,词组,political influences,2026-05-27-2010-english-i-text-4.md,keep away from political influences,政治影响,political influences 指来自政治环境或政治人物的影响，不是“政策有利性”。,一般,阅读高频|政治语境|抽象名词,political 修饰 influences，整体按“政治影响”理解。,1,2026-06-07
20260607-049,2026-06-07,单词,pressure,2026-05-27-2010-english-i-text-4.md,evade the pressure from their peers,压力,pressure 在题目中是抽象名词，表示外部施压或压力来源。,一般,阅读高频|政治经济|抽象名词,常见搭配：face pressure / under pressure / pressure from...,1,2026-06-07
20260607-050,2026-06-07,单词,peer,2026-05-27-2010-english-i-text-4.md,pressure from their peers,同辈；同类机构；同行,peer 不只指年龄相同的人，在机构语境中可指同类机构或同行。,一般,阅读高频|熟词拓展|政治经济,看到 their peers 要结合主体判断：人是同辈，机构是同类机构/同行。,1,2026-06-07
20260607-051,2026-06-07,词组,act on one's own,2026-05-27-2010-english-i-text-4.md,act on their own in rule-setting,独立行动；自主行事,act on one's own 表示不依赖别人、自主行动；题目中指在规则制定中自主行事。,一般,阅读高频|固定搭配|题干选项,on one's own = 独自地/自主地，注意和 own 的“拥有”义区分。,1,2026-06-07
20260607-052,2026-06-07,单词,rule-setting,2026-05-27-2010-english-i-text-4.md,act on their own in rule-setting,规则制定,rule-setting 是复合名词，表示制定规则/准则的过程。,一般,阅读高频|政治经济|会计语境,结合 IASB/FASB 时多指会计准则制定。,1,2026-06-07
20260607-053,2026-06-07,词组,take gradual measures,2026-05-27-2010-english-i-text-4.md,take gradual measures in reform,采取渐进措施；循序渐进地采取措施,gradual measures 指逐步推进的措施，不是一次性剧烈改变。,一般,阅读高频|改革语境|固定搭配,gradual 强调“逐步的、渐进的”，常和 reform/measures/change 搭配。,1,2026-06-07
20260607-054,2026-06-07,词组,in reform,2026-05-27-2010-english-i-text-4.md,take gradual measures in reform,在改革中；在改革方面,in reform 表示改革语境或改革领域中的动作范围，题目里修饰 take gradual measures。,一般,阅读高频|改革语境|介词短语,不要把 in reform 单独翻复杂，本质是“在改革中/改革方面”。,1,2026-06-07
20260607-055,2026-06-07,单词,chairman,2026-05-27-2010-english-i-text-4.md,"Bob Herz, the FASB's chairman, cried out against those who ""question our motives.""",主席；董事长,FASB's chairman 是 Bob Herz 的同位语；本篇 named him CEO and chairman 中 chairman 指董事长/主席职务。,一般,阅读高频|机构职务|同位语|错句来源,chairman = 主席 / 董事长；遇到 named him CEO and chairman 时按职务补语处理。,2,2026-06-22
20260607-056,2026-06-07,词组,cry out against,2026-05-27-2010-english-i-text-4.md,"Bob Herz, the FASB's chairman, cried out against those who ""question our motives.""",强烈反对；大声抗议,cry out against 表示公开强烈反对某人或某事，比普通 object to 语气更强。,一般,阅读高频|态度表达|固定搭配,against 后面接反对对象；本句对象是 those who question our motives。,1,2026-06-07
20260607-057,2026-06-07,单词,question,2026-05-27-2010-english-i-text-4.md,"those who ""question our motives""",质疑；对……提出疑问,question 在这里是动词，不是名词“问题”；question our motives = 质疑我们的动机。,一般,阅读高频|熟词僻义|态度表达,看到 question 后面直接接名词宾语时，优先判断是否为动词“质疑”。,1,2026-06-07
20260607-058,2026-06-07,单词,motive,2026-05-27-2010-english-i-text-4.md,"those who ""question our motives""",动机；目的,motive 指行为背后的动机或意图；motives 是复数，表示“我们的动机”。,一般,阅读高频|抽象名词|态度表达,question one's motives = 质疑某人的动机/意图。,1,2026-06-07
